hijab	kudung
ragu	mamang
mutiara	mutiara
siapapun	sopowae
menembak	nembak
kapas	kapas
parasut	parasut
tengah	tengah
ujian	ujian
tiba	teka
sarangnya	susuhe
transaksi	transaksi
pihak	pihak
mencuci	ngumbah
kuantum	kuantum
sekitarnya	sekitare
kerah	kerah
persahabatan	kekancan
mengusahakan	ngusahakne
tingkat	ndhuwur
biarkan	jarke
tata	toto
malam	bengi
kopi	kopi
pipis	nguyuh
dinamit	dinamit
soal	soal
matinya	matine
gila	gendheng
bertumbuh	mundak
pengurus	pengurus
berburu	mburu
bos	bos
berbicara	wicara
takbir	takbir
bohong	ndopok
pelangi	kluwung
fakta	kanyatan
kembar	kembar
menangis	nanges
penyerahan	seserahan
bencana	pacoban
sulap	sulap
melangkah	ngelangkah
mengirimkan	ngiremke
jernih	bening
gawang	gawang
pertunjukan	tampil
tiba	dateng
menolongnya	nulungi
pemburu	pamburu
cawan	cangkir
kecil	cilik
daku	kulo
hotel	hotel
variasinya	maceme
alamat	panggonan
buka	bukak
panggil	celok
pulang	bali
beton	beton
prosedur	prosedur
kuda	turangga
mangkuk	rengkok
bergaya	macak
resimen	resimen
takut	wedi
kavaleri	kavaleri
anggap	anggep
akhir	pungkasan
tikungan	enggokan
sendirian	ijenan
ciptaannya	kawulo
nyala	urip
kakek	mbah kakung
bangun	tangi
persidangan	persidangan
hebat	paten
pencuci	pengumbah
akhirnya	akhire
tunangan	mantu
mengundurkan	ngundurke
udara	hawa
memperingati	ngerayakke
perpustakaan	perpustakaan
cincin	ali-ali
magnet	wesi berani
terang	padang
asal	mulo
gelar	gelar
dipaksa	di pekso
tanaman	tanduran
atap	gentheng
tampang	rai
jalanan	dalanan
api	geni
barulah	anyarlah
menghambat	ngalangi
pakai	enggo
umpan	pakan
roti	roti
harian	dinoan
denda	dendo
pura	pura
nyawa	sukmo
kubilang	tak kandhani
rekan	rencang
terlilit	kejiret
menikah	mbojo
lewat	liwat
untuknya	kanggone
ternyata	jebule
beratnya	abote
kau	koe
ban	ban
kakaknya	mbakyune
tempe	tempe
mematahkan	nugelke
kini	saiki
harapan	pangarepan
tirai	kelambu
penyiar	penyiar
kaset	kaset
sambal	sambel
fisika	fisika
keluarkan	tok ke
jenis	macem
besarnya	gedine
pustakawan	pustakawan
negeriku	negoroku
pemerintahan	pemerintahan
padaku	nggo aku
berkisar	kiro-kiro
wewenang	kuoso
mudi	mudi
wakil	wakel
menular	nular
bangkai	batang
penonton	penonton
menguasai	nguasai
kesedihan	kewelasan
matur	ngomong
mempersiapkan	nyiapke
sisa	luwihan
memasang	masang
pil	pel
kelamaan	kesuen
jumlah	wilangan
daging	daging
sebaliknya	sewalik'e
berkas	berkas
kehidupan	penguripan
airku	banyuku
melacak	ngelacak
pemancar	pemancar
kepala	endas
lusin	lusin
tukang	kuli
dipukul	di gebuk
selamatlah	mugi selamat
pastur	romo
lepas	ucul
renovasi	ngapii
bukan	uduk
tekanan	peksanan
deputi	deputi
anggaran	anggaran
menata	noto
jantan	lanang
agenda	agenda
apel	apel
internet	internet
rajin	sregep
diminta	di jalok
akibatnya	akibate
sketsa	sketsa
pengembara	ngumbara
musim	musem
musisi	musisi
manis	legi
sensor	sensor
matanya	motone
silahkan	monggo
hamil	meteng
ipar	ipar
membentuk	mbentuk
iya	iyo
penyelidikan	panaliten
tuna	tuna
arwah	roh
pertarungan	perang
cakar	ceker
sarang	sarang
siswi	siswi
nyanyian	nyanyiane
terkecil	paling cilik
bertutur	ngomong
tupai	bajing
tujuh	pitu
terhadap	kanggo
langit	tawang
pelacakan	pelacakan
disiplin	mempeng
topeng	topeng
adopsi	adopsi
cendol	dawet
finansial	finansial
melaksanakan	ngelakokke
pekerjaan	gawean
membubarkan	mbubarke
tipis	tipis
kolam	blumbang
terlepas	ucul
kutipan	petikan
keripik	keripik
lawan	musuh
tsunami	tsunami
tawaran	awisan
gambar	gambar
tato	tato
tertutup	ketutup
baterai	batu
mencangkul	nyangkul
berkawan	koncoan
tim	tim
termakan	ke emplok
bodoh	goblok
ikatan	talenan
membongkar	mbongkar
um	um
tablet	pil
asahan	pasahan
membengkak	aboh
perlahan	alon-alon
nona	mbak
petualang	jelojoh
kentang	kentang
bantu	ewangi
temukan	nemukno
utara	lor
logam	logam
bahasa	basa
kompleks	komplek
termahal	paling larang
aroma	ambu
terbawa	katut
berkurang	kelong
aman	aman
adab	toto kromo
material	bahan
mungkin	ketoe
tertulis	tertulis
mobil	montor
wawancara	tetakonan
iklan	seponsor
punya	ndue
dicuci	di kumbah
nasib	nasib
bangsal	pendhapa
reruntuhan	ambrol
perkemahan	kemah
tulisan	tulisan
bergantung	nggandul
roh	ruh
vagina	memek
bangsanya	bangsane
nafkah	gaji
umur	umur
tahu	tahu
liriknya	lirike
asam	asem
kerja	nyambut gawe
tanduk	sungu
sehari	sedino
gasing	gangsing
mendapatkannya	ngentokke
keluarga	kluargo
membutuhkan	butoh
puncak	puncak
perniagaan	dodolan
cokelat	coklat
teknologi	teknologi
diberikan	di kekno
sedih	cidro
paramedis	paramedis
perlindungan	perlindungan
yakin	yakin
mendidik	ndidik
s	s
kabar	kabar
gerhana	gerhono
petarung	penandhing
putaran	puteran
daya	daya
halus	alus
pergilah	lungoo
perokok	ududan
restoran	restoran
ratakan	rotoke
permukaannya	nduwure
dugaan	perasaan
tegap	jejeg
rambut	rambut
cacar	cangkrang
pengakuan	pengakuan
ati	ati
kemauan	kepingin
ditemukan	di temukno
makhluk	urip-uripan
lain	lio
seks	jinis
ibuku	ibukku
mentri	mentri
lebarnya	ombone
kepala	mustaka
puas	marem
pusaka	pusoko
sembarangan	sak-sake
bangunan	omah
mayor	utomo
mangsanya	mongsone
lombok	lombok
beruang	beruang
lekas	endang
barang	benda
pajak	paos
rumput	suket
kesepakatan	kesepakatan
dibawakan	di gawakne
sumber	sumber
berjaya	joyo
kiranya	kirone
taksi	taksi
ranting	pang
keyakinan	kepitadosan
memperpanjang	ndawakke
derita	derito
garasi	garasi
muridnya	murite
terdengar	krungu
bertengkar	gadoh
nyatanya	nyatane
pemimpin	pimpinan
penemuan	penemuan
kesalahan	keluputan
kesayangan	ketresnan
peliharaan	piaraan
asap	kebul
hubungan	hubungan
dalam	njero
saudara	sedulur
tenaga	tenogo
wanita	wadon
aneh	aneh
kekerasan	kesoran
nona	mbak yu
dendam	dendam
mempunyai	nduweni
kampung	kampung
sidang	sidang
nurani	kalbu
profesional	ahli
negeri	negoro
agama	kapercayan
mencampurkan	nyampurke
gravitasi	gravitasi
kabar	prungon
penis	kontol
kelakuan	polah
melepaskannya	ngeculke
sendirinya	karepe dewe
kartu	kertu
berapi	murup
masa	wayah
ingatan	elingan
baju	ageman
berteriak	mbengok
mohon	mohon
bakti	bekti
kabel	kabel
kapur	kapur
masukkan	lebokne
sediakan	sediani
jawa	jowo
kaca	kaca
warganya	para warga
otak	utek
pandai	pinter
air	toya
manusia	menungso
ayahnya	romone
wabah	pagebluk
gerbang	gerbang
lompat	mlumpat
pengejaran	nguber
pengujian	panguji
ruangan	panggonan
kekayaan	bondo
suara	suoro
satelit	satelit
kelak	sok mben
tunduk	sungkem
menghadirkan	nekakke
luasnya	jembare
cipta	cipto
hiasan	pajangan
potong	tugel
hobi	hobi
jarang	arang-arang
mertua	mertuo
memerintah	ngongkon
berlima	wong limo
ditanya	di takoni
penampungan	penampungan
menyerahkan	nyerahke
mendengar	krungu
usahanya	usohone
mendaftar	ndaftar
sulitnya	angele
kulitnya	kulite
hancurnya	ajure
termasyhur	kondang
masih	ijek
bergelombang	nggelombang
bergotong	sambatan
mengakui	ngakoni
terdekat	cerak
mereka	wong kae
setan	demit
sudut	pojok
kaki	sikil
keluar	metu
wortel	wortel
akar	oyot
lisan	lambe
penculikan	penculikan
unggul	unggol
sisi	pinggir
arahan	pitunjuk
menaikkan	ngunggahke
dialas	di lemek
bilik	senthong
cuci	kumbah
keseluruhannya	sekabehane
petang	peteng
muat	amot
memprotes	mrotes
jembatan	titi
lada	mrico
memohon	nyuwon
tema	tema
sepuluh	sepuloh
galon	galon
pendeknya	cendake
sepak	tendang
bayangan	wewayangan
ayo	ayo
kompas	kompas
menguatkan	nguatke
perlakuan	perlakuan
memunculkan	nimbulke
berasa	keroso
ketupat	kupat
telanjang	wudo
botol	botol
kuil	candhi
pengantin	nganten
ketumbar	tumbar
mengajak	ngejak
muncul	nongol
bertepatan	ngepasi
bantal	bantal
penutup	penutup
sambaran	samberan
urat	urat
enam	enem
semula	mulo
awal	mulo
berdoa	dungo
pun	pun
penyembuhan	marasake
menghilang	ngilang
ungkapan	ungkapan
tetaplah	panggah
raga	awak
lubang	bolongan
psikologi	psikologi
perhatian	perhatian
cair	encer
selasa	seloso
china	cino
getaran	geter
mukjizat	mukjizat
peramal	peramal
tusuk	tujep
dilewati	di liwati
bunuh	pateni
logika	logika
puluhan	puluan
nilai	biji
mengenal	ngenal
balap	ngebut
sepiring	sak piring
ajaran	lelaku
keinginan	kekarepan
memakai	ngagem
oranye	oren
segala	kabeh
pukul	gebuk
harimu	dinomu
musuh	musuh
urus	uros
sebuah	sak
ukuran	ukuran
statusnya	statuse
segitiga	segitiga
panggung	geger
makmur	makmur
dibedakan	di bedokne
video	video
mengeluarkan	ngetokke
pepaya	kates
tagihan	tagihan
naik	mundak
kemudian	banjur
lahirnya	lahire
tak	ora
mimpi	ngimpi
pokok	pokok
reruntuhan	ambruk
sebenarnya	sak jane
namun	nanging
seterusnya	sak teruse
amat	banget
nafkah	upah
otopsi	otopsi
ganja	ganja
menikahi	ngerabi
akad	akad
persahabatan	koncoan
saja	wae
paman	lek
sekretaris	sekretaris
anak	bocah
memasuki	ngleboni
dihabiskan	di entekno
mandiri	dewean
sam	sam
bertambahnya	mundake
menyeberangi	nyebrang
pelayan	kacung
resminya	resmine
and	lan
bon	bon
pingsan	semaput
posisi	posisi
ramai	rame
tentunya	mestine
suasana	kawontenan
sabuk	sabuk
gila	edan
almarhum	seda
obrolan	omongan
rakyat	rakyat
cakar	cakar
membeli	tumbas
gunung	arga
merahasiakan	ngrehasiakke
dinding	tembok
menggendong	nggendong
menemukannya	nemukake
pepatah	pitutur
kemudian	mari ngono
halangan	alangan
menampung	nampung
gambar	umbul
sosok	lakon
menggigit	nyokot
minta	njaluk
bulat	bunder
perempuan	wadon
angel	susah
kalender	tanggalan
aqidah	aqidah
nanti	engko
bapak	bapa
pelukis	pelukis
bersama	bebarengan
maha	moho
empat	papat
bambu	pring
dibuat	di gawe
tolonglah	tulungono
tikar	kloso
mantra	japa
rentan	ringkih
meletakkan	ndelehke
dibantu	di ewangi
mengangguk	manthuk
yakin	mesthi
upayanya	upoyone
berubah	maleh
curah	tumplek
hamba	hamba
sunting	pinang
peletakan	ndelehke
masalah	perkoro
warung	warong
jurang	jurang
bandit	bangsat
bayi	cah cilik
berjualan	dodolan
biarkan	bene
satunya	sijine
jemur	peme
memberi	ngenei
komponen	bagian
aduk	udak
merata	roto-roto
anjing	kirik
humor	guyon
menyakiti	ngelarani
ulama	ngulama
pukul	gepuk
kebetulan	kebetulan
belakang	mburi
khusus	kusus
abad	satus taun
benderanya	genderone
upaya	upoyo
berakhir	entek
sebelas	sewelas
leher	gulu
kehakiman	kehakiman
merundingkan	ngrembukno
komunis	komunis
menerapkan	netepke
selamatkan	tulungono
merambat	ngerambat
harusnya	kudune
hujan	udan
kosong	kotong
ulet	sregep
membuatnya	nggawe
sibusuk	sibosok
bekerja	makaryo
bidang	bagian
perbudakan	babu
pengalaman	pengalaman
kemampuan	kesagedan
kesombongan	kedumehan
permanen	permanen
malu	isin
vital	vital
petualangan	petualangan
kilat	bledek
siku	sikut
sekeliling	sak keliling
penemu	sengnemu
sejenis	sak jenis
apapun	sak-sake
karakter	karakter
sendiri	dewe
terlambat	keri
perak	perak
terorisme	terorisme
artikel	babad
dicintai	di tresnani
membawanya	nggowone
anggun	ayu
lumpur	bletokan
kerabat	sedulur
menggarap	nggarap
sama	podo
hantu	demit
cawan	gelas
permisi	punten
wahid	siji
merah	abang
mulut	lambe
tunangannya	tunangane
buatan	gawean
mengadu	ngadu
menempuh	nempuh
salad	salad
tetangganya	tonggone
percaya	percoyo
mempraktikkan	mraktekke
berair	mbanyu
masa	mongso
sehat	waras
baju	klambi
tanda	tondo
impian	pangimpen
berbedak	pupuran
berpakaian	klamben
pemotongan	penjagalan
ciptaan	gawean
lomba	lomba
pondasi	pondasi
busa	unthok
pelihara	ngingoni
balet	balet
aksi	tumindak
memalukan	ngisini
umpan	umpan
jurnalis	jurnalis
catur	catur
majikan	ndoro
bangsa	bangsa
didahului	di disiki
asisten	asisten
uangnya	duite
untuknya	nggone
dipandang	di delok
wali	wakel
pengembangan	pangembangan
penyakit	penyakit
temen	konco
pernapasan	ambegan
air	tirta
belakangnya	mburine
surga	suwargo
dibawa	di gowo
menantunya	mantune
puncak	pucuk
laptop	laptop
sayur	sayur
terimakasih	matur nuwun
perut	weteng
tersusun	kesusun
gadis	prawan
milik	nduwe
cahaya	cahya
pramuka	pramuka
melanjutkan	neruske
ribuan	ewonan
kala	wayah e
tiap	amben
bus	bis
kerang	kijing
liver	ati
lantainya	jogane
wisuda	wisuda
kalung	kalung
batangnya	gagange
debu	awu
obor	obor
nadi	nadi
lensa	lensa
famili	keluargo
pohon	wit
mengembara	ngemboro
tembok	tembok
jernihnya	beninge
waktu	wektu
tanah	lemah
simpanan	simpenan
mencangkul	macul
ibumu	ibukmu
memuja	sungkem
bulanan	wulanan
bendungan	bendungan
putra	putro
pengendara	penunggang
dekade	dekade
penduduk	warga
syahadat	sahadat
sempurna	sempurno
naiknya	mundak e
data	data
wilayahnya	ancake
baiknya	apike
sebatang	sak batang
maju	maju
komisi	komisi
baring	nggletak
tari	joget
topi	topi
pemandangan	sesawangan
diamlah	menenglah
label	label
apakah	opo iyo
nenek	mbah
kandidat	kandidat
berdesakan	umpel-umpelan
sebaiknya	adune
wuruk	nduduhi
lengkuas	laos
bayi	bayek
kompetisi	kompetisi
biarawan	biarawan
tema	judol
persyaratan	syarat
udang	urang
bisnis	manjing
