indonesian,sundanese
ajaibnya,gaibna
ajaibnya,pikahã©raneunna
ajaran,ajaran
ajaran,atikan
ajarannya,ajaranna
ajarannya,atikanna
akad,akad
akad,jangji
akademi,akademi
akademik,akademik
akademik,atikan
akademisnya,akademisna
akal,akal
akalnya,akalna
akalnya,pamikiranna
akan,arã©k
akan,badã©
akar,akar
akar,canir
akar,jangkar
akbar,agung
akbar,gedã©
akhir,paneuri
akhir,panungtungan
akhirnya,ahirna
akhirnya,tungtungna
akhlak,akhlak
akhlak,kalkuan
akhlak,paripolah
akibat,balukar
akibatnya,balukarna
akibatnya,dampakna
akomodasi,akomodasi
akrab,akrab
akrab,dalit
akrab,deukeut
akrab,wawuh
akreditasi,akrã©ditasi
akronim,akronim
aksara,aksara
aksen,logat
akses,akses
aksi,aksi
akta,akte
aktif,aktif
aktif,aktip
aktifitas,kagiatan
aktifnya,aktifna
akting,ã©kting
aktor,aktor
aktor,pemeranna
aktris,aktris
aku,abdi
aku,dã©wã©k
aku,kuring
aku,uing
aku,urang
akun,akun
akuntansi,akuntansi
akurat,akur
akurat,akurat
akustik,akustik
akut,parah
akut,parna
alaihi,alaihi
alaihi,ka anjeunna (lalaki)
alam,alam
alamat,alamat
alami,alami
alamnya,alamna
alang,halang
alang,palang
alarm,alarm
alas,dadampar
alas,dasar
alas,pademã©n
alasan,alatan
alasan,alesan
alasan,lantaran
alasannya,alatanna
alasannya,alesanna
alasannya,lantaranna
alat,alat
alatnya,alatna
alatnya,parabotna
albania,albania
album,album
alergi,alergi
alfa,alfa
alias,juluk
alias,landi
alias,sabenarna
alien,alien
alif,alif
alih,ngalih
alih,pindah
alim,alim
alim,lungguh
aliran,aliran
aliran,kocor
aliran,ngocor
aljazair,aljazair
alkali,alkali
alkaloid,alkaloid
alkitab,alkitab
alkitab,kitab
alkohol,alkohol
allah,gusti allah
allah,pangã©ran
allah,gusti
almanak,almenak
almarhum,jenat
almarhumah,almarhumah
alpen,alpã©n
alquran,alquran
alternatif,alternatip
alternatif,pilihan
alum,layu
alumni,alumni
alur,alur
alur,galur
amal,amal
amalan,amalan
aman,aman
amanah,amanah
amanat,amanat
amanat,kapercayaan
amanat,pesenan
amanat,pihapã©
amar,parã©ntah
amat,kacida
amat,pisan
amatir,anyaran
amatir,nembã©an
ambar,amber
ambarawa,ambarawa
ambil,bantun
ambil,candak
ambil,cokot
ambisi,itikad
ambisi,kahayang
ambisi,tã©kad
ambon,ambon
ambon,ambwan
ambulans,ambulan
amen,amin
amendemen,amendemen
americana,bangsa amerika
americana,urang amerika
amerika,amerika
amfibi,amfibi
amien,amin
amin,amin
aminah,aminah
amir,kapala
amir,panglima
amir,sã©napati
amis,hanyir
amplop,amplop
ampun,hampura
anak,anak
anak,budak
anakan,anakan
anaknya,anakna
anaknya,budakna
anaknya,murangkalihna
anaknya,putrana
analis,analis
analisis,medar
analog,analog
anatomi,anatomi
ancaman,anceman
ancaman,paniatan
ancol,ancol
anda,anjeun
anda,manã©h
anda,sia
anda,silaing
andal,andel
andalan,andeleun
andalas,andalas
andam,paku
aneh,anã©h
aneh,teu biasa
aneh,teu ilahar
aneh,teu lumrah
aneka,rupa-rupa
aneka,rupi-rupi
anemia,anemia
anestesi,anestesi
angan,huleng
angel,hã©sã©
angel,leukleuk
angel,lila
anggap,anggap
anggap,nganggap
anggapan,anggapan
anggapan,pamadegan
anggar,maã©n pedang
anggaran,anggaran
anggota,anggota
anggotanya,anggotana
anggrek,anggrã©k
anggun,apik
anggun,sugih mukti
anggur,anggur
angin,angin
angka,angka
angka,nomer
angkasa,jomantara
angkat,angkat
angkat,diangkat
angkat,ditaã©kkeun
angkatan,atragan
angkatan,barengan
angkatan,jaman
angkatan,umuran
angkot,angkot
angkut,ngangkut
angkutan,angkutan
animisme,animisme
anjing,anjing
anjungan,saung
ansambel,ansambel
antagonis,antagonis
antara,antara
antara,antawis
antarabangsa,antara bangsa
antaranya,antarana
antaranya,diantarana
antaranya,diantawisna
antartika,antartika
antena,antena
antena,antã©neu
anti,anti
anti,lawanna
anti,musuhna
antibiotik,antibiotik
antibodi,antibodi
antik,antik
antik,heubeul
antimalaria,antimalaria
anting,anting
anting,suweng
antioksidan,antioksidan
antologi,antologi
antropolog,antropolog
antropologi,antropologi
anugerah,kasinugrahan
anugerah,rohmat
anyaman,anyaman
anyaman,nganyam bilik
anyar,anyar
anyar,weuteuh
anyar,ã©nggal
apa,naon
apabila,lamun
apabila,mun
apabila,upama
apakah,naon
apapun,naon baã©
apapun,naon ogé
apapun,naon waã©
aparat,aparat
aparat,pakakas
apartemen,apartemen
apbn,apbn
apel,apel
api,seuneu
apit,jepit
aplikasi,aplikasi
apresiasi,ajã©n
apresiasi,pangajén
april,april
aqidah,aqidah
arab,arab
arabia,arabia
arabica,arabika
arah,arah
arahan,parã©ntah
arahan,pituduh
arak,arak
aram,sacewol
arang,areng
arca,arca
archimedes,archimedes
area,tempat
areal,arã©a
areal,wewengkon
areal,wilayah
arena,arena
argumen,alesan
argumen,pamadegan
argumen,pandapat
arifin,aripin
arifin,jelema arip
arifin,jelema pinter
aristokrat,aristokrat
aristoteles,aristoteles
arizona,arizona
arjuna,arjuna
arkeolog,arkeolog
arkeologi,arkeologi
arkeologis,arkeologis
arktik,arktik
armada,armada
aroma,bau
aroma,wawangian
arsenal,arsenal
arsip,kumpulan
arsitek,arsitek
arsitektur,arsitektur
arsitekturnya,arsitekturna
artefak,artefak
arteri,arteri
arthropoda,artropoda
arti,arti
arti,harti
arti,hartos
arti,maksud
artikel,serat
artikel,tulisan
artikel,warta
artikelnya,artikelna
artikulasi,sora
artinya,artina
artinya,hartina
artinya,hartosna
artinya,maksudna
artis,artis
artistik,artistik
arus,aliran
arus,arus
arwah,arwah
arwah,roh
arya,ajã©naneun
arya,hormateun
asa,harepan
asa,pangharepan
asahan,pangasahan
asal,asal
asal,mimiti
asalkan,asalkan
asalnya,asalna
asalnya,mimitina
asam,hasem
asam,haseum
asap,haseup
asap,kebul
asap,saab
asas,dalih
asas,dasar
asas,jejerna carita
asasi,asasi
asean,asean
aset,kabeungharan
aset,modal
asia,asia
asian,asian
asin,asin
asin,pangsã©t
asinan,asinan
asing,asing
asing,deungeun
asisten,pangbantu
asli,nyaan
aslinya,aslina
aslinya,aslinya
asma,bengã©k
asma,mengi
asma,ngaran
asmara,asmara
asmara,bogoh
asmara,kasmaran
aso,ngaso
asongan,asongan
asongan,tã©mbongan
asosiasi,paguyuban
aspek,aspék
aspirasi,aspirasi
aspirin,aspirin
asrama,asrama
asri,asri
astaga,astagpirullah
astaga,euleuh
asteroid,asteroid
astronom,astronom
astronomi,astronomi
asuhan,budak nu diasuh
asuhan,miara
asuhan,ngasuh
asumsi,sangkaan
asuransi,asuransi
atap,hateup
atap,suhunan
atapnya,hateupna
atapnya,suhunanna
atas,luhur
atasnya,luhureun
atau,atanapi
atau,atawa
ataupun,atanapi
ataupun,atawa
atlantik,atlantik
atlas,atlas
atlet,atlet
atlet,atlit
atletik,atletik
atlit,atlit
atmosfer,atmosfer
atom,atom
atraksi,atraksi
atribut,atribut
atrium,atrium
atuaran,aturan
atur,ngatur
aturan,aturan
audio,audio
audisi,audisi
audit,audit
auditorium,auditorium
augusta,augusta
aula,aula
aulia,aulia
australia,australia
austria,austria
awak,awak
awak,badan
awak,salira
awal,awit
awal,mimiti 
awalan,awit
awalan,dimimitian 
awalnya,awitna
awalnya,mimitina
awam,awam
awam,jelema biasa
awam,umum
awan,mã©ga
awang,awang
awas,awas
awas,kadã©
awasi,ditalingakeun
awasi,dititã©nan
ayah,bapa
ayahnya,bapana
ayahnya,ramana
ayam,hayam
ayat,ayat
ayo,hayu
ayolah,hayu atuh
ayu,geulis
ayunan,aayunan
ayunan,ayunan
azan,azan
azimut,azimut
aziz,aziz
bab,bab
babak,babak
babat,angen kadut
babat,babat
babi,bagong
baca,maca
baca,maos
bacaan,bacaan
bacaan,maosan
bacakan,macakeun
bacakan,maoskeun
bacang,bacang
badai,badai
badai,ribut
badak,badak
badan,awak
badan,salira
badannya,awakna
badannya,salirana
badminton,badminton
badui,baduy
badut,badut
bagai,jiga
bagai,siga
bagaimana,kumaha
bagaimanapun,kumaha ogé
bagan,bagan
bagan,skã©ma
bagan,susunan
bagas,bagas
bagi,jang
bagi,kanggo
bagi,pikeun
bagian,sawareh
bagian,wareh
baginda,kangjeng
baginya,jang manã©hna
baginya,kanggo anjeunna
baginya,pikeun anjeunna
baginya,pikeun manéhna
bagus,alus
bagus,hadã©
bagus,saã©
bahagia,bagja
bahagia,bungah
bahan,bahan
bahana,gema
bahana,sora tarik
bahannya,bahanna
bahari,bahari
bahari,palaut
bahasa,basa
bahasan,bahasan
bahasan,pedaran
bahasanya,bahasana
bahasanya,basana
bahaya,bahaya
bahaya,baya / bahya
bahaya,picilakaeun
bahaya,pisusaheun
bahkan,komo
bahrain,bahrain
bahu,taktak
bahwa,yã©n
bahwasanya,yã©n
baik,alus
baik,hadã©
baiklah,mangga
baiklah,muhun
baiknya,alusna
baiknya,hadã©na
bait,pada
baja,malela
bajak,bajak
bajingan,bã©lã©gug
bajingan,goblog
baju,acuk
bajunya,acukna
bajunya,pakéanna
bajunya,raksukanna
bakal,arã©k
bakal,badã©
bakar,beuleum
bakar,ngaduruk
bakat,bakat
bakat,kudrat
bakat,sipat
bakat,watek
bakatnya,bakatna
bakatnya,kudratna
bakatnya,sipatna
bakatnya,watekna
bakau,bakau
baki,baki
baki,banã©ja
bakmi,bakmi
bakpao,bakpao
bakso,bakso
bakteri,bakteri
bakti,bakti
bakti,baktos
baku,lulugu
bakunya,bakuna
bakunya,biasa-biasana
bakunya,kabiasaanna
bakunya,pangpangna
bakwan,bala-bala
balap,balap
balapan,balapan
balapan,ngabalap
balas,bales
balas,wales
balas,walon
balasan,balesan
balasan,walesan
balasan,walonan
balet,balet
bali,bali
balik,balik
balik,mulang
balik,mulih
balik,wangsul
balkon,balkon
balkon,gagandok
balok,balok
balok,bulukan 
balok,catang
balok,dolek
balun,balut
balun,bulen
balun,bungkus
balut,balun
balut,bulen
balut,bungkus
bambang,bambang
bambu,awi
bambu,bitung
bambu,gombong
bambu,tamiang
ban,ban
band,ben
bandang,bandang
bandar,bandar
bandara,bandara
banding,banding
bandit,bandit
bando,bando
bandung,bandung
bang,akang
bang,beureum
bang,kang
bangau,bango
bangga,agul
bangga,reueus
bangkai,bangkai
bangkai,bangkã©
bangkai,bugang
bangkai,wangkay
bangkit,naék
bangkit,ngadeg
bangkok,bangkok 
bangkrut,bangkrut
bangku,korsi
bangladesh,bangladesh
bangsa,bangsa
bangsal,bangsal
bangsanya,bangsana
bangsawan,bangsawan
bangun,gugah
bangun,ngadeg
bangunan,bangunan
bangunan,wangunan
banjar,banjar
banjaran,banjaran
banjarmasin,banjarmasin
banjir,caah
bank,bank
bantal,anggel
banteng,andaka
banteng,bantã©ng
banting,babã©t
banting,banting
bantu,tulung
bantuan,bantuan
banyak,loba
banyak,seueur
banyaknya,lolobana
banyaknya,seuseueurna
banyumas,banyumas
banyuwangi,banyuwangi
bapa,abah
bapa,apa
bapak,abah
bapak,apa
bapak,bapa
bapaknya,abahna
bapaknya,bapana
bapaknya,ramana
bappenas,bappenas
baptis,baptis
bara,burahay
barang,barang
barang,wanda
barat,kulon
baring,ngagolã©r
baris,baris
baris,jajar
baris,rã©ndã©ng
barisan,barisan
barisan,jajaran
barisan,rã©ndã©ngan
baru,anyar
baru,weuteuh
baru,ã©nggal
barulah,anyar
barunya,anyarna
barunya,weuteuhna
barunya,ã©nggalna
barus,barus
barus,kamper
basah,baseuh
basah,basuh
basah,wasuh
basi,bari
basi,basi
basi,tengi
basis,dasar
basis,pademã©n
basis,taneuh
basket,basket
basuh,basuh
basuh,wasuh
bata,bata
batang,catang
batangan,batangan
batangnya,gagang 
batara,dã©wa
batas,batas
batasnya,watesna
baterai,batrã©
batik,batik
batin,sanubari
batu,batu
batubara,batubara
batuk,bantuk
batuk,batuk
batuk,gohgoy
bau,bau
baunya,bangseng
baunya,bauna
bawa,bantun
bawa,candak
bawa,jayak
bawa,mawa
bawah,handap
bawahan,handapeun
bawahnya,handapeun
bawahnya,handapna
bawang,bawang
bayam,bayem
bayangan,kalangkang
bayangkan,diwangwang
bayangkan,ngabayangkeun
bayar,mayar
bayar,taur
bayaran,bayaran
bayaran,ditaur
bayaran,pamayaran
bayi,orok
bayu,angin
bayu,wayu
bazar,bazar
bbm,bbm
beasiswa,béasiswa
beban,beungbeurat
bebas,bébas
bebas,leupas
beberapa,sababaraha
becak,bã©ca
beda,bã©nten
beda,béda
bedah,belã©k
bedanya,bã©ntenna
bedanya,bédana
begini,jiga kieu
begini,kos kieu
begitu,jiga kitu
begitu,kos kitu
begitulah,tah ã©ta
begitulah,ã©ta pisan
begitupun,kitu ogã©
begitupun,kos kitu
beijing,beijing
bejana,bejana
bekas,sã©sa
bekas,tapak
bekas,tilas
bekas,urut
bekasi,bekasi
bekerja,damel
bekerja,gawã©
bel,bã©l
belah,beulah
belah,palebah
belahan,beubeulahan
belahan,beulahan
belahan,sabeulah
belajar,diajar
belakang,pengker
belakang,tukang
belakangan,pandeuri
belakangan,pengkereun
belakangan,tukangeun
belakangnya,pengkerna
belakangnya,tukangna
belalang,simeut
belanda,walanda
beli,meuli
beli,mã©sã©r
beliau,anjeun
beliau,anjeunna
beliau,manã©h
beliau,manã©hna
belitung,belitung
belok,pã©ngkol
belum,acan
belum,teu acan
belum,éncan
benang,bola
benar,bener
benar,leres
benarkah,bener teu
benarkah,leres teu
bencana,musibah
benci,ceuceub
benci,keuheul
benci,ngã©wa
benci,sebel
benda,barang
bendahara,bendahara
bendera,bendera
benderanya,benderana
bendungan,waduk
bengawan,walungan
bengkak,bareuh
bengkel,bengkel
bengkulu,bengkulu
benih,biji
benih,siki
bensin,bã©ngsin
benteng,bã©ntã©ng
bentuk,mangrupa
bentuknya,bentukna
bentuknya,wangunna
benua,banua
berabad,barabad
berada,ayana
berada,beradat
beradaptasi,nyaluyukéun
beradat,beradat
beradik,adina
beradik,dulur
beradu,gelut
beragam,baragam
beragama,beragama
berair,caian
berakal,berakal
berakhir, anggeus
berakhir,rengse
berakhir,tungtung
berakhlak,moral
berakibat,gabalukarkeun
beraktivitas,beraktipitas
beralamat,ditujukeun
beralamat,padumukan
beralamat,panganjrekan
beralasan,alatan
beralasan,lantaran
beralasan,nalar
beralih,beralih
beralih,ngalih
beraliran,aliran
beralkohol,beralkohol
beranak,babar
beranak,ngajuru
beranak,ngalahirkéun
beranak,ngowo
beraneka,rupa-rupa
beraneka,rupi-rupi
berangan,ngahuleng
beranggotakan,kaanggotaan
berangin,angin-anginan
berangkat,angkat
berangkat,indit
berangkat,mangkat
berangkat,mios
berani,wani
berani,wantun
beranjak,indit
beranjak,jengkar
beranjak,mangkat
beranjak,miang
berantai,ngaruntuy
berapa,sabaraha
berapi,seuneu
beraroma,bau
berarti,bararti
berarti,kukituna
beras,bã©as
berasa,karasa
berasal,asalna
berasal,kawitna
berat,abot
berat,béurat
beratap,hatep
beratap,suhunan
beratnya,aboteun
beratnya,béuratna
beratus,mangratus-ratus
berawal,mimiti
berawal,ngawitan
berawan,berawan
berbadan,awakan
berbagai,rupa-rupa
berbagai,rupi-rupi
berbagi,mã©rã©
berbagi,ngabagi
berbahan,bahanna
berbahan,lawonna
berbahasa,bahasana
berbahaya,bahaya
berbahaya,baya
berbahaya,picilakaeun
berbahaya,pisusaheun
berbaju,acuk
berbaju,pakéanana
berbaju,raksukan
berbakat,berbakat
berbalas,ngabalas
berbalas,silih bales
berbalas,silih wales
berbalik,malik
berbalik,ngabalik
berbanding,bandingkeun
berbasis,ngabasis
berbatasan,diwatesanan
berbatasan,wates
berbaur,ngabaur
berbaur,ngahiji
berbeda,bã©nten
berbeda,béda
berbentuk,ngawangun
berbentuk,wangunna
berbicara,ngomong
berbicara,nyarios
berbincang,cumarita
berbincang,ngawangkong
berbincang,omongan 
berbintang,berbintang
berbintang,bã©ntang
berbisa,peurahan
berbisnis,babalantik
berbohong,ngabohong
berbohong,ngarahul
berbohong,ngawadul
berbuah,buahan
berbuat,jieun
berbuat,ngadamel
berbuat,nyieun
berbudaya,ngabudaya
berbukit,pasir
berbumbu,bumbuna
berbunga,kembangan
berbunyi,soraan
berburu,moro
bercabang,nyabang
bercahaya,cahya
bercahaya,sinar
bercahaya,sorot
bercampur,kaaduk
bercampur,kacampur
bercampur,ngahiji
bercanda,bobodoran
bercanda,ngabodor
bercerai,pirak
bercerita,cumarita
bercerita,ngawangkong
bercerita,nyarita
bercinta,kabogohan
bercumbu,bobogohan
berdagang,dagang
berdakwah,dakwah
berdampingan,ngarã©ndã©ng
berdampingan,pasisi-sisi
berdarah,getihan
berdasar,dasarna
berdasarkan,dumasar
berdaun,daunan
berdebat,debat 
berdekatan,deukeut
berdekatan,padeukeut
berdesakan,pagegelek
berdesakan,pasesedek
berdesakan,paseselek
berdiam,cicing
berdiam,jempã©
berdiam,rã©pã©h
berdiameter,diameterna
berdinas,dinas
berdiri,nangtung
berdiri,ngadeg
berdirinya,nangtungna
berdirinya,ngadegna
berdoa,ngadoa
berdoa,ngadu'a
berdua,duaan
berdurasi,durasina
berdurasi,lamina
berdurasi,lilana
berduri,cucukan
bereaksi,polahna
bereaksi,rã©aksina
beredar,ngider
beredar,nguriling
berenang,ngojay
berencana,direncanakeun
beresiko,rã©sikona
berfikir,mikir
berfokus,pokusna
berfungsi,fungsina
bergabung,gabung
bergantian,gonta-ganti
bergantung,ngagantung 
bergelut,papuket
bergerak,usik
berguna,kapaké
bergurau,bacanda
bergurau,ngabodor
berguru,diajar
berhadapan,pahareup-hareup
berhak,kedah
berharap,piharep
berharga,berharga
berhasil,junun
berhenti,eureun
berhubungan,patalina
beri,mã©rã©
berikan,mã©rã©keun
berikut,diantarana
berikutnya,salajengna
beriman,beriman
berisi,eusian
berisikan,eusian
berita,warta
beritahu,ngabejaan
berjalan,leumpang
berjanji,jangji
berjauhan,patebih
berjualan,dagang
berjuang,bajoang
berkabar,ngabarkeun
berkah,berkah
berkarir,karir
berkas,berkas
berkata,ngomong
berkawan,babaturan
berkeadilan,kadilan
berkeinginan,kahayang
berkekuatan,kakiatan
berkelahi,tarung
berkelebihan,kaseuran
berkeluarga,keluarga
berkemampuan,berkamampuan
berkembang,ngembang
berkembangnya,mekarna
berkenalan,kenalkeun
berkerumun,balaréa
berkesimpulan,kesimpulanna
berketombe,ketombe
berketurunan,katurunan
berkiprah,berkiprah
berkuasa,kakuwasa
berkumpul,kempel
berkunjung,berkunjung
berkurang,ngirangan
berlakunya,kalakuana
berlanjut,diteraskeun
berlari,lumpat
berlebih,langkung
berlebihan,kalangkungan
berlian,berlian
berlibur,berlibur
berlima,limaan
berlimpah,ngalimpah
berlindung,ngiuhan
berlipat,ngalipet
berlisensi,salisih
berlokasi,enggon
berlomba,pasanggiri
berlubang,liang
bermain,ulin
bermalam,ngawengi
bermanfaat,mangpaat
bermotor,momotoran
bermukim,cicingna
bermula,mimitina
bernafas,napas
bernama,ngaranna
berniat,boga niat
bernilai,ajã©n
bernomor,nomorna
bernyanyi,ngawih
beroperasi,"operasi
"
berpacaran,bobogohan
berpacu,berpacu
berpakaian,anggoan
berpasangan,sasarengan
berpegang,cecepengan
berpendapat,boga pamadegan
berpendidikan,atikan
berpenduduk,nu nyicingan
berpengaruh,berpengaruh
berpengaruh,boga pengaruh
berperang,gelud
berperang,perang
berpikir,mikir
berpindah,pindah
berpisah,papisah
berpolitik,pulitik
berposisi,kalungguhan
berprestasi,prestasi
berpuasa,saum
berputar,muter
bersahabat,sobat dalit
bersaing,nyaing
bersalah,kaliru
bersalaman,sasalaman
bersama,babarengan
bersamanya,babarengan
bersandar,bersandar
bersatu,ngahiji
bersaudara,dulur
bersaudara,wargi
bersebelahan,sabelahan
bersejarah,sajarah
bersekolah,sakola
bersemangat,sémangat
bersembunyi,nyumput
bersiap,bersiap
bersih,resik
bersikap,paripolah
bersin,bersin
bersuami,gaduh carogã©
bersuku,suku
bersumpah,bersumpah
bersurat,bersurat
bersyukur,bersukur
bertahan,netep
bertambah,nambahan
bertambahnya,nambahanna
bertamu,namu
bertanda,nandaan
bertangga,tatanggaan
bertanggungjawab,tanggeng waler
bertani,tatanã©n
bertanya,naros
bertarung,gelut
bertatapan,papayun-payun
bertekad,bertekad
bertelur,bertelor
bertelur,nujun gendog
bertemu,papendak
bertenaga,tanagaan
bertengkar,pasea
bertentangan,sabalikna
bertepatan,katepatan
berteriak,ceuceuleuweungan
bertiga,tiluan
bertugas,keur tugas
bertujuan,tujuanana
bertukar,patuker
bertumpuk,katumpuk
beruang,beruang
beruang,biruang
berubah,robah
berukuran,ngurangan
berulang,kaulang
berumur,sepuh
beruntung,nanjung 
berupa,mangrupa
berupaya,narékahan
berusaha,usaha
berusia,umurna
berwarna,warnana
besar,ageung
besarnya,agengna
besi,beusi
besok,isukan
betina,bikang
betul,leres
biar,kajen
biarkan,ingkeun
biarkan,keun wae
biarpun,sawios
biasa,biasa
biasanya,biasana
biaya,bayareun
biayanya,biayana
bicara,ngomong
bicara,nyarios
bicarakan,nyarioskeun
bicarakan,omongkeun
bicaranya,nyariosna
bicaranya,omongna
bidadari,bidadari
biji,siki
biksu,biksu
biksu,wiku
binatang,sato
bingung,lieur
bintang,bentang
biola,biola
bir,bir
biru,bulao
biru,paul
bisa,tiasa
bisakah,tiasakan
biskuit,kuã©h
bisnis,bisnis
bisnis,usaha
bisu,pireu
bius,bius
blok,blok
bocah,budak
bocah,murangkalih
bodoh,belegug
bodoh,boloho
bohong,ngabohong
bohong,wadul
bola,bal
boleh,kaci
boleh,kenging
boleh,meunang
bom,bom
bonus,bonus
bonus,tambahan
borgol,blenggu
borgol,borgol
bos,dunungan
bos,juragan
bos,pingpininan
botol,botol
buah,buah
buahnya,buahna
buang,piceun
buat,ngadamel
buat,ngajieun
buatan,jieunan
buaya,buhaya
bubuk,bubuk
bubur,bubur
budak,pagawã©
budaya,budaya
budayanya,budayana
buddha,buddha
budiman,budiman
bujang,lajang
bujangan,jajaka
bujangan,lalaki
buka,muka
bukan,hentéu
bukan,lain
bukan,sanes
bukannya,lainna
bukit,gugunungan
bukti,buktos
buktinya,buktina
buku,buku
bukunya,bukuna
bulan,bulan
bulan,sasih
bulat,buled
bulu,bulu
bulunya,buluna
bumbu,samara
bumbunya,samarana
bumi,dunya
bunda,ema
bunda,ibu
bunda,indung
bundar,bundar
bunga,kembang
bunganya,kembang eta
bungkus,bulen
bungkus,mulen
bungkus,mungkus
bungsu,bontot
buntu,buntu
bunuh,paehan
bunut,ekor
bunyi,sora
buruh,kuli
buruk,awon
buruk,goreng
buruk,jore
burung,manuk
bus,beus
busur,busur
busur,gandã©wa
cabai,cengek
cabe,cabã©
cacar,kuris
cacing,cacing
cadangan,sã©rep
cahaya,cahya
cahayanya,cahayana
cair,cair
cakar,kaut
calon,calon
cambuk,pecut
campur,campur
campuran,nyacampurkéun
canggih,canggih
cantik,geulis
cap,cap
cap,setã©mpel
cara,cara
caranya,carana
cari,milari
cari,teang
cat,cã©t
catatan,catetan
catatan,seratan
catur,catur
cawan,basi
cawan,mangkok
cek,cek
celaka,cilaka
celana,calana
celana,lancingan
cemburu,timburu
cepat,enggal
cepat,gancang
cepat,tereh
cepatlah,enggalkeun
cepatlah,geuwat
cepatlah,terehkeun
cepatnya,saenggalna
cepatnya,sagancangna
cerdas,calakan
ceria,marahmay
cerita,carios
cerita,carita
cerita,talatah
ceritakan,nyaritakeun
ceritanya,caritana
cermin,eunteung
cermin,kaca
cetak,citak
cetakan,citakan
cewek,awewe
cewek,istri
cewek,mojang
cicil,cicil
cincin,ali
cincin,cingcin
cincin,lã©lã©pã©n
cinta,asih
cinta,duriat
cinta,nyaah
cintanya,asihna
cipta,pancipta
ciptaan,jieunan
ciptaannya,ciptaanana
ciri,ciri
cirinya,cirina
cita,cita
cita,encit
ciuman,sun
coba,nyoba
coba,nyobian
cocok,cocog
cokelat,coklat
coklat,coklat
colok,nyolok
contoh,conto
contohnya,contona
cowok,jajaka
cowok,lalaki
cuaca,hawa
cuci,nyeuseuh
cukup,cekap
cukup,cukup
dada,harigu
daerah,wewengkon
daftar,daptar
daging,daging
dahulu,baheula
dahulu,bareto
dahulu,kapungkur
dahulunya,baheulana
dahulunya,baretona
dahulunya,kapungkurna
dalam,jero
dalamnya,di jero
dampak,pangaruh
dan,jeung
dan,sareng
dana,duit
dana,harta
danau,situ
danau,talaga
dansa,dangsa
dapat,kenging
dapat,meunang
dapatkan,meunangkeun
dapatkan,ngengingkeun
dapur,dapur
dapur,pawon
darah,getih
darahnya,getihna
darat,darat
daratan,daratan
dari,ti
darinya,ti manehna
daripada,batan
dasar,dasar
dasarnya,dasarna
data,data
datang,datang
datangnya,datangna
datar,cã©pã©r
daun,daun
daun,kalakay
daya,kakuatan
dayung,bosã©h
dayung,dayung
dayung,welã©h
debat,debat
debat,sawala
debu,kebul
dekade,dã©kadeu
dekat,deukeut
dekatnya,di deukeutna
dekorasi,papantas
delapan,dalapan
delta,delta
delta,muara
demam,muriang
demam,nyenyepan
demokrasi,emok
demokrat,demokrat
denah,denah
denda,dengda
dendam,dengdem
dengan,sareng 
denganmu,sareng anjeun
dengannya,sarengna
dengar,denge
dengarkan,dengekeun
denyut,denyut
depan,hareup
departemen,bagã©an
depresi,gélo
deputi,dã©puti
derajat,darajat
derek,dã©rã©k
dering,ngirining
dermawan,balabah
desa,lembur
