menghancurkan	ngancurkeun
ventilasi	pentilasi
olimpiade	olimpiade
beda	benten
simbol	tanda
amanat	kapercayaan
asuhan	ngasuh
menghimpun	ngumpulkeun
musuh	musuh
maksud	maksad
helikopter	helikopter
pinggir	sisi
sistem	sistem
begitupun	kitu oge
keberatan	kaabotan
mengklaim	klaim
tidur	sare
berharga	berharga
beraneka	rupi-rupi
cukup	cekap
basi	tengi
duduk	diuk
menggambar	ngagambar
ritual	kabiasaan
dokter	dokter
angkatan	atragan
tubuh	awak
klub	klub
estetik	kaendahan
muka	raray
dipergunakan	dipake
perang	jurit
mencarinya	neangan
mencukupi	cekap
tembakan	tembakan
malaikat	malaekat
komputer	komputer
bel	bel
menerangkan	ngajelaskeun
bunda	indung
sosiologi	sosiologi
psikopat	psikopat
ahli	manukna
menyisakan	nyesakeun
tersisa	nyesa
gagang	panyekelan
antara	antawis
mengganti	ngahilikeun
dana	harta
hormat	patuh
motor	motor
anda	silaing
terdengar	kakuping
pelayan	palayan
begitulah	tah eta
kasih	meumeut
dahulu	baheula
dipinjam	diinjeum
ketuanya	 pupuhuna
perusak	nu ngarusak
sosialisasi	sosialisasi
mengganti	ngagentos
sulit	sesah
pemegang	panyekel
komitmen	komitmen
bersumpah	bersumpah
bodoh	boloho
benteng	benteng
diserahkan	diserahkeun
dilalui	diliwatan
celana	calana
tewas	paeh
bawahnya	handapna
bahana	sora tarik
terbang	hiber
domba	embe
terbentuk	kabentuk
jimat	rajah
cerita	carios
menduga	nebak
beberapa	sababaraha
direbus	dikulub
merebus	ngulub
jawab	ngawaler
liburan	liburan
keranjang	carangka
kantong	kantong
panjang	panjang
bajingan	belegug
senjata	pakarang
selasa	salasa
bangsa	bangsa
tirai	kasang
mengebom	ngabom
nasib	titis tulis
lama	lami
pakaian	acuk
arahan	parentah
berputar	muter
asalkan	asalkan
umum	lumrah
apabila	lamun
diskusi	obrolan
apabila	mun
begitulah	eta pisan
setara	satara
advokat	advokat
pertandingan	tanding
balok	balok
payung	payung
tepi	ujung
borgol	borgol
kecilnya	leutikna
kepenuhan	kapinuhan
terhubung	kahubung
hadir	nungkulan
jus	jus
mendudukkan	nyicingkeun
cetak	citak
artikulasi	sora
buat	ngadamel
alternatif	alternatip
tercuci	ka kukumbah
telanjang	buligir
abses	bisul
kebetulan	kabeneran
bakpao	bakpao
kepadanya	kaanjeuna
aduk	ngocek
setelah	saenggeus
menjalani	ngalaman
sering	remen
berubah	robah
augusta	augusta
menemukannya	mendakan eta
biasanya	biasana
sekitarnya	sabudeureunana
mengobrol	obrolan
abdu	kuring
statusnya	statusna
belah	beulah
kimia	kimia
memenangi	meunang
perjanjian	perjangjian
alumni	alumni
penembak	panembak
mengandalkan	gumantung kana
pelatihan	palatihan
ciri	ciri
utusan	utusan
tradisi	tabiat
marah	ambek
diinginkannya	dipikahayang
ditambah	ditambih
setelah	saatos
pandangan	tetempoan
selimut	simbut
menempati	nempatan
menghilang	ngaleungit
jasadnya	maitna
kenal	wanoh
bacaan	bacaan
absolut	mutlak
direktur	pupuhu
bersamanya	babarengan
serikat	kumpulan
gambarnya	gambarna
dipanggang	dibeulem
dia	anjeuna
wafat	maot
domba	gibas
hiasan	pataka
pengalaman	kanyaho
aristokrat	aristokrat
warta	warta
menang	meunang
games	kaulinan
kawannya	baturna
wafat	pupus
kebajikan	kahadean
mengingat	ngemutan
mendapat	meunang
dihapuskan	dileungitkeun
watak	watek
masyarakat	balarea
aminah	aminah
harus	kedah
bapa	abah
memakan	ngadahar
karyawan	pagawe
band	ben
menyesuaikan	nyesuaikeun
allah	gusti allah
dihentikan	dieureunkeun
entah	teuing
hujan	silantang
mengaji	ngaos
dilanjutkan	diteruskeun
bubuk	bubuk
asalnya	mimitina
mengambilnya	nyandak eta
mengajukan	ngalebetkeun
analisis	medar
betina	bikang
kebiasaan	kabiasaan
dipecat	dipegatkeun
sekumpulan	rombongan 
orbit	orbit
meniru	nurutan
akademi	akademi
mengagumi	muji
dinamakan	dinamian
duapuluh	duapuluh
iklim	usum
mengalihkan	mindahkeun
aspek	aspek
kalimat	kalimah
dimungkinkan	jigana
diketuai	dipupuhuan
agung	luhur
karakter	sipat
cinta	asih
diet	diit
menjualnya	ngajual
kapalnya	kapalna
gagal	burung
berlari	lumpat
ambisi	tekad
kontrak	kontrak
sirkuit	sirkuit
kasus	perkawis
basis	pademen
mengusir	ngausir
bagaimanapun	kumaha oge
abangnya	rakana
dirayakan	dirayakeun
busur	busur
dikendalikan	dikawasa
guna	nganggo, ngangge
akut	parah
buruk	goreng
menggerakkan	ngagerakeun
abai	teu paduli
grafik	grapik
bungkus	bulen
menyusut	ngaleungitkeun
pendarahan	getihan
abis	seep
kesepakatan	kasepakatan
mengenyam	gaduh
idiot	idiot
sementara	sementara
kain	kaen
penonton	panongton
menghubungkan	nyambungkeun
artistik	artistik
papan	papan
angkutan	angkutan
uang	acis
terus	teras
mengelabui	nutupan kabohongan
boleh	kaci
bangun	ngadeg
mengorbankan	ngorbankeun
pukul	jam
akuntansi	akuntansi
bakat	sipat
paruh	pamatuk
pria	lalaki
gunung	gunung
belajar	diajar
menciptakan	nyiptakeun
agar	meh
jadinya	jantena
ditandatangani	ciri
akal	akal
barang	wanda
estetika	estetika
koran	koran
bidadari	bidadari
kakeknya	akina
berpengaruh	berpengaruh
germo	alku
tanggal	tanggal
ujian	cocobi
batasnya	watesna
telor	endog
keluarga	kulawarga
lahir	lahir
jantung	hate
bayar	taur
media	media
anda	maneh
bulan	bulan
menyusul	nyusul
hamil	reuneuh
pabrik	pabrik
urutan	untuy
belakangan	pandeuri
bahwasanya	yen
watak	tabeat
bacakan	macakeun
agresif	sifatna narajang
tinggalnya	ancikna
prosedur	cara
gaya	gaya
dna	dna
kurang	kurang
anjungan	saung
penyembuh	panyageur
berisi	eusian
belahan	sabeulah
sampai	nepi
pimpinan	pupuhu
replika	replika
menggenggam	ngeupeul
asing	deungeun
insiden	kajadian
kentut	puak
mendengar	nagdangu
abang	aa
keanggotaan	anggotana
derajat	darajat
dugaan	sangkaan
tradisi	adat
karunia	kurnia
bakat	kudrat
cinta	nyaah
perpustakaan	perpustakaan
menelepon	nelepon
bahasa	basa
memberitahu	mere nyaho
pengangkutan	ngangkut
menyebarkan	nyebarkeun
aristoteles	aristoteles
umum	umum
merambah	nembus
sisi	sisi
tercuci	kacuci
colok	nyolok
borgol	blenggu
menghidangkan	ngalayangan
berpendidikan	atikan
tertua	pangkolotna
peperangan	jurit
dimakan	didahar
kegiatan	kagiatan
menyedihkan	sedih
bercahaya	sorot
duanya	duana
mengajak	ngajang
bakal	arek
kiri	kenca
kenangan	kenangan
basah	wasuh
sahabat	sumitra
jadwal	agenda
las	las
terbanyak	pangseueurna
akreditasi	akreditasi
bacakan	maoskeun
bos	juragan
penduduk	nu nempatan
dipaksa	kapaksa
berpegang	cecepengan
arteri	arteri
peramal	jalmi pinter
warnanya	warnana
memeriksa	cek
banyak	loba
menyanggupi	satuju
asongan	tembongan
benarkah	leres teu
menuduh	nuduh
lbu	indung
keju	keju
menyukainya	resep pisan
awak	salira
natal	natal
dikabarkan	diwartoskeun
dahulunya	kapungkurna
ketemu	tepang
misteri	misteri
bedanya	bentenna
beradik	adina
garut	garut
berkata	ngomong
datang	datang
asma	bengek
tontonan	tongtonan
terkenal	kakoncara
menyebabkan	ngabalukarkeun
keranjang	tolombong
dipertimbangkan	dipertimbangkeun
dibatalkan	dibatalkeun
pesanan	pesenan
mengatur	ngatur
terminal	terminal
kirim	kirim
rute	jalur
gang	jalan leutik
sudut	juru
alas	pademen
menantu	minantu
sarjana	sarjana
gangguan	halangan
solo	anggana
ditekan	ditenet
ataupun	atawa
tarian	jogedan
bertujuan	tujuanana
dicatat	dicatet
ampun	hampura
lahir	ngajuru
hobi	kabeuki
kekasih	bebene
pikiran	pikiran
insan	manusa
tingkat	tingkat
bersandar	bersandar
sedikitnya	saalitna
zamannya	jaman
agenda	agenda
calon	calon
menghadiri	hadir
yang	anu
bawa	jayak
menurut	numutkeun
lihat	tempo
berhenti	eureun
berkesimpulan	kesimpulanna
mendapati	ngengingkeun
mengantarkannya	nganterukeun eta
waktu	waktos
penakut	borangan
gerobak	antol
dipastikan	dipastikeun
dahulunya	baheulana
kebangsaan	kabangsaan
agamanya	agamina
depan	hareup
pipa	cangklong
akses	akses
didapatkan	dibeunangkeun
pinggang	cangkeng
putih	bodas
beratnya	beuratna
pengawal	ponggawa
menyingkirkan	nyingkirkeun
menyediakan	nyadiakeun
jangan	teu kenging
dibantai	diwangun 
bahannya	bahanna
aturan	aturan
menyebutnya	nyebutkeun
gelanggang	pakalangan
baginya	pikeun manehna
adatnya	paripolahna
pangkalan	pangkalan
pengantaran	pangiriman
mengawasi	ngawaskeun
bulan	sasih
bahagia	bagja
filem	pelem
alkaloid	alkaloid
benda	barang
berkemampuan	berkamampuan
baru	weuteuh
tambahan	tambahan
diambil	dicandak
tanggung	tanggung
pekan	minggu
barulah	anyar
kau	silaing
aslinya	aslina
ditemui	dipanggihan
barat	kulon
membakar	ngabeuleum
jenis	rupi
agak	rada
dimasukkan	diasupkeun
ditemui	ditepungan
imigran	imigran
perdagangan	kaicalan
menentukan	nangtukeun
hancur	ancur
tambahan	tambihan
sapotong	seurina
dapat	meunang
hadir	sumping
siapkan	tataharkeun
harum	seungit
menjualkan	ngajualkeun
kerabat	dulur
tugasnya	pancenna
wasiat	waris
pastor	pastor
badai	ribut
astronomi	astronomi
air	ci
tunjukkan	nunjukkeun
pemarah	ambekan
asma	ngaran
anggapan	anggapan
batubara	batubara
bayaran	ditaur
senin	senen
ember	ember
alkitab	kitab
wajahnya	pameunteuna
berbagai	rupa-rupa
kandungan	rahim
diancam	diancem
anti	lawanna
teknis	teknis
arktik	arktik
dikelola	dikalola
asean	asean
penyelidikan	laratan
sedang	nuju
tank	tengki
atraksi	atraksi
tapi	tapi
perkiraan	angkanan
kartun	kartun
begini	jiga kieu
egois	egois
andalas	andalas
naga	naga
gantung	gantung
balapan	ngabalap
acara	hajatan
dia	manehna
diberi	dipasihan
anggota	anggota
jalani	ngajalnkeun
kekuasaan	kakawasaan
lautan	ambah
rokok	rokok
pasokan	pasokan
pasar	pasar
menggantinya	ngagentoskeun
akademik	akademik
ambisi	kahayang
pemberi	nu mere
tua	sepuh
segera	saenggalna
generasi	siwi
lem	lem
karyanya	ciptaana
mengikuti	nuturkeun
kebahagiaan	kabagjaan
menyambut	ngabageakeun
sulap	sulap
payudara	pinareup
catatan	seratan
ledakan	ledakan
polisi	pulisi
mimpi	ngimpi
ikan	lauk
kemenangan	kameunangan
karya	karya
harusnya	kedahna
ceritakan	nyaritakeun
tingkat	tahap
bapaknya	ramana
baju	acuk
rasakan	ngarasakeun
sinonim	sinonim
jalannya	jalana
menemui	manggihan
musuh	satru
sulitnya	hesena
penutup	panutup
roman	riuk
diperdengarkan	didengekeun
belahan	beulahan
operasi	operasi
berpuasa	saum
manajemen	manajemen
diberi	dibere
diadakan	diayakeun
internal	 ti jero
tomat	tomat
diikuti	dituturkeun
dibagi	dibagi
babak	babak
berbohong	ngawadul
menganalisis	nganalisis
peliharaan	ingon-ingon
bangga	agul
ski	ski
memberikan	dibikeun
beranak	ngajuru
laksamana	amirulbahar
tujuannya	tujuanna
basah	baseuh
pos	pos
jajanan	dahareun
berat	abot
diperbanyak	diseueuran
berangan	ngahuleng
aceh	aceh
diberikan	dibikeun
balut	balun
mengelola	ngatur
selamatkan	salametkeun
asia	asia
menetralkan	netralkeun
umpamanya	utamina
menemukan	mendakan
kadal	kadal
menyerah	pasrah
kepada	ka
aman	aman
mengingat	ngelingan
keponakan	alo
arti	hartos
menguasai	ngadominasi
ganja	ganja
kehidupan	kahirupan
tumbuh	tumuwuh
belakang	tukang
panah	jamparing
kasur	kasur
pegunungan	gugunungan
mengarahkan	menerkeun
hukum	hukum
klien	klien
proses	proses
penganiayaan	panganiayaan
austria	austria
disamakan	disamikeun
daya	kakuatan
individu	nyalira
caranya	carana
insan	jelema
tingginya	luhurna
mengangkat	ngangkat
akustik	akustik
walikota	walikota
dipandang	ditempo
gaib	gaib
membayar	mayar
mengantar	ngajajap
pengakuan	pangakuan
jaksa	jaksa
instrumen	instrumen
berbuat	jieun
semprotan	panyemprot
aceh	ucah-aceh
dituangkan	dicicikeun
mata	soca
gerak	oyag
disediakan	disadiakeun
panggilan	landih
bermain	ulin
menyajikan	ngalayanan
perkemahan	pakemahan
menyumbang	nyumbangkeun
kesempurnaan	kasampurnaan
bahaya	bahya
cair	cair
awam	umum
menghibur	ngahibur
asrama	asrama
abjad	abjad
catur	catur
mendendangkan	nganyanyikeun
urusan	kaperluan
berusia	umurna
momen	waktos
madu	madu
berpacu	berpacu
dahulu	kapungkur
kegembiraan	kabingah
diutus	diutus
menghadirkan	ngahadirkeun
nuklir	nuklir
menghasilkan	ngahasilkeun
pintar	singer
pujian	aleman
makanya	matakna
sumpah	jangji
sensor	sensor
bekerja	gawe
kembalinya	uihna
cokelat	coklat
menyekat	misahkeun
perhatiannya	 atensina 
isyarat	totonden
resminya	resmina
ditulisnya	diseratna
gigi	huntu
lapangan	lapang
ditolong	ditulungan
cicil	cicil
berdakwah	dakwah
status	status
tepat	pas 
tertua	cikal
informan	pawartos
merubah	ngarobah
kelihatan	katingal
sembilan	salapan
bertengkar	pasea
pengadilan	pangadilan
dada	harigu
budiman	budiman
guna	ngarah
bakat	bakat
berlimpah	ngalimpah
selamat	wilujeng
menjatuhkan	ngalungsurkeun
baginya	jang manehna
arang	areng
ajaib	pikaheraneun
selesaikan	dipungkas
dihuni	dicicingan
menghina	ngahina
seharusnya	sakuduna
umum	biasa
laptop	laptop
anggar	maen pedang
banyak	seueur
mengejar	ngudag
ditanya	ditaros
tambah	nambah
sinyal	sinyal
beradaptasi	nyaluyukeun
berkiprah	berkiprah
mengantarkan	nganteurkeun
inspektur	pangawas
kacamata	tasma
menunjang	rojongan
mengakibatkan	ngakibatkeun
wakil	wawakil
baki	baneja
berkuasa	kakuwasa
balik	mulih
diperlukan	diperyogikeun
langit	langit
kemauan	kahoyong
keberatan	kabeuratan
anugerah	rohmat
instrumen	pakakas
jurnal	jurnal
benci	sebel
permanen	permanen
didatangi	disumpingan
abangnya	lanceukna
menyalahi	ngalanggar
berikutnya	salajengna
antologi	antologi
teh	teh
mengumumkan	ngumumkeun
akibat	balukar
berpakaian	anggoan
cincin	lelepen
bahaya	picilakaeun
bangkok	bangkok 
sejarah	sajarah
arca	arca
ciptaannya	ciptaanana
beradik	dulur
iblis	setan
sedunia	sadunya
arya	ajenaneun
sebotol	sabotol
penghuni	babakan
kotoran	runtah
gulat	galungan
serupa	sarupa
beliau	manehna
biksu	biksu
pertengkaran	pacogregan
biayanya	biayana
bertepatan	katepatan
beda	beda
duduk	calik
mengingatkan	ngingetan
benua	banua
gajah	gajah
berbeda	beda
menyadari	sadar
awalnya	awitna
bukit	gugunungan
mendengarnya	ngupingkeun eta
tumit	keuneung
lemari	lomari
ahad	hiji
riang	gumbira
tutup	turub
jasad	badan
dihitung	diitung
dosis	takaran
tanahnya	taneuh
sendirian	nyalira
banyaknya	seuseueurna
malamnya	peutingna
bangkit	naek
april	april
isu	cenah
sederajat	sadarajat
tumpukan	gundukan
ekspedisi	lalampahan
tabrakan	paadu
menawarkan	naswiskeun
berenang	ngojay
menjawab	ngawaler
bingung	lieur
luka	raheut
beralamat	padumukan
berangin	angin-anginan
inisial	ciri
gerbang	panto
balok	dolek
mencalonkan	nyalonkeun
permainan	kaulinan
aziz	aziz
pertunangan	tunangan
gelas	gelas
pimpinan	pingpinan
seumpama	saumpama
dasarnya	dasarna
logam	kencring
bambu	bitung
cap	setempel
bukan	henteu
mentega	mantega
balas	wales
mengambil	nyandak
dikerjakannya	dipigawe
tradisional	tradisional
kegagalan	kagagalan
terlambat	telat
akronim	akronim
bangkai	wangkay
pelatih	palatih
atrium	atrium
lengan	panangan
usahanya	usahana
kapur	apu
santan	cai pati
bakunya	bakuna
sumur	sumur
kuasa	kawasa
teman	babaturan
ikut	ngiring
menyanyi	ngahaleuang
samping	gigir
kalung	kongkorong
menganyam	ninun
keuntungan	kauntungan
atasnya	luhureun
kerabat	baraya
pemakaman	pajaratan
menghadap	nyanghareup
kasih	layeut
karantina	karantina
tumpul	mintul
menopang	rojongan
tiba	sumping
jumlahnya	jumlahna
ayunan	ayunan
denyut	denyut
diinginkan	dipikahoyong
diyakini	diyakinkeun
tunjuk	tembong
mengajak	ngarojong
lengkap	kumplit
angka	angka
mengimpor	impor
lembar	lembar
kesimpulan	kasimpulan
sehat	walagri
berhasil	junun
membutuhkan	meryogikeun
berbalas	silih wales
julukan	sebutan
jalanan	jalanan
got	susukan
buah	buah
kebenarannya	sabenarna
menghisap	nyeuseup
nyawa	nyawa
berjualan	dagang
diperdebatkan	diparmasalahkeun
asin	asin
anestesi	anestesi
meraih	ngahontal
guru	guru
matanya	panonna
diharuskan	ngedahkeun
canggih	canggih
abi	watekna
perkataan	cariosan
hendak	rek
persegi	pasagi
gerakan	gerakan
kaum	kaum
tentara	tantara
menjerat	ngajebak
peserta	pamilon
tunjuk	nunjuk
kepemimpinan	kapamingpinan
kandang	paranje
atlit	atlit
lihatlah	tingali
tugas	tugas
adil	adil
harapan	harepan
tubuh	salira
adik	rayi
paus	paus
singgah	nyimpang
gugatan	gugatan
kesamaan	sarua
bangkai	bangke
majalah	jilid
pemuda	bujang
laboratorium	laboratorium
jernih	herang
fungsi	pungsi
menyaksikan	ningalikeun
beraliran	aliran
ayunan	aayunan
inspirasi	inspirasi
balasan	walesan
bagi	jang
ditinggikan	ditaekeun
dinilai	dipeunten
sosial	sosial
merasa	ngaraos
astaga	astagpirullah
lonceng	lonceng
binatang	sato
purnama	purnama
kilat	kilat
abu	kebul
banteng	andaka
dibersihkan	dibersihkeun
bayar	mayar
pecandu	pacandu
abu-abu	hawuk
menyiapkan	nyiapkeun
akan	bade
dilancarkan	dilancarkeun
diperiksa	diparios
lunak	biye
antartika	antartika
dokumenter	dokumenter
malam	peuting
perawan	mojang
menyelesaikan	ngabereskeun
tahunnya	terangna
gadai	gade
menyuarakan	nyora
menginjak	nincak
dari	ti
kayu	kai
diperkirakan	diperkirakeun
dipakainya	dipakena
hamba	kuring
kancing	kancing
gelanggang	tempat
angkot	angkot
gampang	babari
mengindikasikan	nunjukeun
label	tanda
aktris	aktris
abu	 calacah
ajaibnya	pikaheraneunna
jago	jawara
berjanji	jangji
bicarakan	omongkeun
pemenang	pinunjul
americana	urang amerika
kapten	kapten
berupa	mangrupa
beranjak	indit
perceraian	pepegatan
gerbang	lawang
umpan	eupan
alim	lungguh
kampung	lembur
aktor	aktor
berburu	moro
kebisingan	kagandengan
kesaksian	kasaksian
kontak	kontak
bakti	baktos
sinetron	sinetron
separuh	sawareh
bekerja	damel
lebar	rubak
maaf	hampura
upacara	upacara
peliharaan	piaraan
beasiswa	beasiswa
berpindah	pindah
nenek	nini
formasi	susunan
aktif	aktip
ditanamkan	dipelakeun
ide	alpukah
kesialan	kasialan
bangsal	bangsal
kunci	konci
allah	gusti
dihidupkan	dihirupkeun
berbalas	ngabalas
nada	nada
instruksi	parentah
fungsi	gunana
kamis	kemis
menganjurkan	nyarankeun
angka	nomer
pedang	gobang
keringat	luut-leet
plat	plat
mutan	mutan
kehadiran	datangna
pejabat	pajabat
mayat	layon
mainan	amengan
puisi	puisi
diwan	diwan
telpon	telepon
sebaliknya	sakedahna
penilaian	pameunteunan
penilaian	panileyan
keduanya	kaduana
cowok	jajaka
alkitab	alkitab
baik	alus
berbumbu	bumbuna
bagaimana	kumaha
partai	partai
kerjakan	gawekeun
aliran	ngocor
dilarang	dicaram
salad	salad
saluran	walahar
perkiraan	wangwangan
wisuda	diistrenan
baunya	bauna
cari	teang
kas	kas
wadah	enggon
bukti	buktos
dikatakan	disebutkeun
bapak	bapa
memerlukan	meryogikeun
demokrasi	emok
kakinya	sampeanna
arsip	kumpulan
prosesnya	prosesna
arkeologi	arkeologi
abadi	langgeng
banting	babet
ratu	ratu
rongsokan	rongsokan
meninggal	maot
ditandatangani	tawis
granit	granit
rendah	pendek
pemburu	pamatang
membangun	ngabangun
sbb	jeung sajabana
tidak	henteu
asas	jejerna carita
obat	landong
bius	bius
judul	judul
obat	ubar
sepaham	sapaham
adipura	adipura
anggapan	pamadegan
mendidih	ngagolak
diperingati	diingetan
ingin	hayang
dan	sareng
duluan	tipayun
atom	atom
semesta	semesta
berbatasan	wates
mendirikan	ngadirikeun
terbaik	nyongcolang
gergaji	ragaji
seterusnya	saterusna
setan	jurig
buaya	buhaya
diperbanyak	dilobaan
jam	jam
radio	radio
tetangga	tatanggi
buruk	jore
daftar	daptar
dimodifikasi	dimodifikasi
aparat	aparat
konsultan	konsultan
prajurit	prajurit
fatal	parah
perbatasan	pangwates
bertangga	tatanggaan
panggilan	pang-gero
argumen	pamadegan
tercapai	kacapai
susah	hese
wisuda	kalulusan
penghuni	nu nyicingan
batang	catang
menghormati	ngahargaan
toilet	jamban
pakaian	anggoeun
udara	hawa
kepercayaan	kapercayaan
sendirian	nyorangan
disuruh	dititah
bersahabat	sobat dalit
meja	meja
golf	golep
atlet	atlet
atletik	atletik
ujungnya	tungtungna
haknya	pamilikna
angkat	ditaekkeun
perlombaan	palombaan
karnaval	karnapal
meranti	meranti
nasional	nasional
tunangan	papacangan
menunjukkan	pintonan
dihapuskan	dipiceun
berkeluarga	keluarga
aduk	campur
bangkrut	bangkrut
generasi	generasi
seratus	saratus
goresan	bared
asal	asal
alamat	alamat
perawan	parawan
hasrat	kahayang
perjalanan	lalampahan
diajak	diajak
investigasi	talungtik
hilang	lesot
dibuatkan	dijieunkeun
tertentu	nu tangtu
arkeologis	arkeologis
bergabung	gabung
penis	kanjut
masyarakat	masarakat
sobat	balad
danau	situ
mengetahui	nyaho
daun	kalakay
rekan	baturan
energi	tanaga
menceritakan	ngabejaan
tantangan	tangtangan
asli	nyaan
kuat	kuat
ilmu	elmu
karbon	karbon
jernih	beresih
sehari	sapoe
sedikit	saalit
terbalik	kabalik
asian	asian
kantin	kantin
diolah	diolah
cepatnya	sagancangna
juara	kampiun
angkatan	umuran
angkatan	barengan
menjunjung	hormat
akting	ekting
uangnya	artosna
bercerita	cumarita
lelah	cape
mengkonfirmasi	mastikeun
abang	raka
pemandangan	tetempoan
sultan	raja
analog	analog
tupai	bajing
menemui	mendakan
bakatnya	kudratna
atap	hateup
agus	ujang
jumlah	jumlah
jumpa	pendak
kaca	kaca
apapun	naon wae
tua	kolot
dansa	dangsa
hiasan	pelet
deputi	deputi
kepala	sirah
kembali	uih
gedung	bale
perlombaan	balap
aksi	aksi
tangannya	lengeunna
kalender	penanggalan
merasakan	ngarasakeun
bayu	angin
andalan	andeleun
berpisah	papisah
tunas	sirung
dibuang	dipiceun
tangki	tangki
asap	saab
dipinjamkan	diinjeumkeun
belanda	walanda
cintanya	asihna
ironis	kingkin
kelihatannya	katingalna
uangnya	duitna
kantor	kantor
