aba	obo
cambuk	pecut
canda	guyon
candu	tuman
cangkul	pacul
cantik	ayu
cara	cara
cara	coro
caranya	corone
cari	golek
cat	cet
catatan	cathetan
catur	catur
catur	sekak
cawan	cangkir
cawan	gelas
cawan	lepek
cedera	cidro
cek	cek
celaka	ciloko
celana	kathok
celana	katok
cendol	dawet
cepat	ndang
cepatlah	ndango
ceri	ceri
ceria	sumringah
cerita	cariyos
cerita	cerito
cerita	crita
ceritanya	ceritone
cermin	koco
cerutu	lintingan
cetak	citak
cetak	cithak
cetakan	cetakan
cetakan	citakan
cewek	wadon
cewek	wedok
china	cino
cina	cino
cincin	ali - ali
cincin	ali-ali
cinta	tresna
cinta	tresno
cintanya	tresnone
cipta	cipto
ciptaan	gawean
ciptaannya	kawulo
cirinya	cirine
cita	gegayuhan
ciuman	ambungan
coba	cubo
cobalah	cuboen
cokelat	coklat
coklat	soklat
colok	colok
cowok	jaler
cowok	lanang
cuaca	hawa
cuci	kumbah
cucian	umbahan
cucu	putu
cucunya	putune
cukup	cukop
curah	tumplek
dada	dhadha
dada	dodo
dadu	dadu
daerah	praja
daerah	wewengkon
dagang	dodol
daging	daging
dagingnya	daginge
dahulu	mbiyen
dahulu	ndisek
dahulunya	ndek mben
daku	kulo
dalam	njero
dalamnya	njerone
dan	lan
dana	bea
dana	dana
danau	telogo
dangkal	cethek
dansa	joged
dapat	intok
dapatkan	ngintokne
dapur	pawon
dara	doro
darah	getih
darahnya	getihe
dari	seko
dasarnya	dasare
data	data
datang	teko
datangnya	tekane
datar	warata
dataran	dhataran
daun	godhong
daun	godong
daunnya	godonge
daya	daya
debu	awu
debu	bledug
dekade	dekade
dekat	cedek
dekatnya	cedek'e
delapan	wolu
delta	delta
demam	mriyang
demam	nggregesi
denda	dendha
denda	dendo
dendam	dendam
dengan	karo
denganmu	bareng
denganmu	karo sampean
dengannya	karo dek'e
dengar	krungu
dengarkan	rungokno
depan	ngarep
departemen	departemen
deposit	deposit
depresi	edan
depresi	jibeg
deputi	deputi
derajat	drajad
deras	deres
derita	derito
desa	desa
desa	deso
desa	dhusun
desainer	desainer
dewa	dewo
dewan	dewan
dewasa	gede
dia	dek'e
diaduk	diudek
diajak	dijak
diajari	di ajari
diajarkan	di ajarke
dialas	di lemek
dialog	dialog
diam	meneng
diambil	dijukok
diambil	dijupok
diamlah	menenglah
dianggap	dianggep
diangkat	di junjung
diare	mencret
diatas	nang nduwur
dibaca	di woco
dibakar	di obong
dibalik	di walik
dibantu	di ewangi
dibasuh	di lap
dibatasi	di watesi
dibawa	di gowo
dibawakan	di gawakne
dibedakan	di bedokne
dibeli	di tuku
dibeli	di tumbas
diberhentikan	di mandekno
diberi	di kek'i
diberikan	di kekno
dibersihkan	di resiki
dibesarkan	di gedekno
dibolehkan	di olehno
dibuang	di guwang
dibuat	di gawe
dibuatkan	di gawekne
dibunuh	di pateni
dicari	di golek
dicintai	di tresnani
dicuci	di kumbah
didahului	di disiki
didalamnya	nang jerone
didapati	entokke
didatangi	di tekani
didengarkan	di rungokno
diduduki	di lungguhi
digantikan	di genteni
digigit	di cokot
digunakan	di enggo
dihabiskan	di entekno
dihaluskan	di aluske
dihancurkan	di jurke
dihentikan	di ndekno
dihuni	di nggoni
diikuti	di eloni
diingat	di iling
dijaga	di jogo
dijalani	di dalani
dijatuhi	di tibani
dijual	di dol
dikarenakan	amergo
dikeluarkan	di tokne
dikonsumsi	di pangan
dikukus	di adang
dilalui	di liwati
diletakkan	di gletakne
dilewati	di liwati
dilihat	di delok
diluar	nang njobo
dimainkan	go dolanan
dimakan	di pangan
dimana	nang endi
dimasukkan	di lebokne
dimiliki	di nduweni
diminta	di jalok
dimintai	di jaluk'i
diminum	di ombe
dinaikkan	di unggahno
dinamai	di jenengi
dinamakan	di jenengno
dinamit	dinamit
dinas	dines
dinasti	kerajaan
dinding	tembok
dingin	adem
dinikahi	di bojo
dipakai	di enggo
dipaksa	di pekso
dipandang	di delok
dipanggil	di celuk
dipegang	di cekel
dipelihara	di ingoni
dipercaya	di percoyo
dipercayai	di percoyoi
diperintah	di kongkon
diperlihatkan	di delokne
dipotong	di ketok
dipuji	di lem
dipukul	di gebuk
dipunyai	di nduweni
dirasakan	di rasakno
direbus	di godok
direbut	di saut
direktur	direktur
diri	awak
diri	badan
dirimu	sampeyan
dirinya	dek'e
disamakan	di padakne
disamping	nang sisih
disana	nang kono
disangka	di kiro
disapa	di sopo
diseduh	di com
disiksa	di sikso
disinggahi	di ampiri
disini	nang kene
disiplin	mempeng
disko	disko
diskon	korting
diskusi	mbahas
diskusi	rundingan
disuapi	di dulang
disunting	di bojo
disuruh	di kongkon
disusun	di toto
ditanam	di tandur
ditanami	di tanduri
ditanya	di takoni
ditata	di toto
ditebang	di tumbang
ditemukan	di temukno
diterima	di tompo
ditolong	di tulung
ditukar	di ijoli
diturunkan	di dunke
ditusuk	di cucuk
ditusuk	ditujep
dna	dna
doa	dungo
dokumen	arsip
dolar	dolar
domba	domba
donat	donat
donor	ndonor
dorongan	surung
dosa	duso
dosis	takar
drama	sandiworo
drum	tong
dua	loro
duanya	lorone
duapuluh	rongpuloh
duduk	lungguh
dugaan	perasaan
duku	langsep
dukun	dhukun
dukun	dukun
dukungan	ndukung
dulu	biyen
dulu	disik
dulu	ndisek
duluan	ndisikan
dunia	donya
dunia	dunyo
dunia	jagad
duta	utusan
edisi	edisi
efek	akibate
ego	ego
ekor	buntut
ekornya	buntute
ekspedisi	ekspedisi
elang	elang
emas	emas
ember	ember
empat	papat
emping	mping
enam	enem
endang	endang
entah	emboh
entahlah	embohlah
es	es
etika	toto kromo
fakta	fakta
fakta	kanyatan
faktor	faktor
famili	keluargo
farmasi	farmasi
fatal	ajur
favorit	senengi
federasi	federisasi
fiksi	karangan
film	filem
finansial	finansial
firman	hidayah
fisik	awak
fisika	fisika
flu	pilek
fokus	fokus
formasi	formasi
formula	resep
formulir	formulir
fosil	balung tuwek
foto	poto
fotografer	fotografer
fungsi	fungsi
fungsi	kangge
gabungan	nggabung
gadai	gade
gadis	perawan
gadis	prawan
gadis	wedok
gairah	nafsu
gajah	gajah
gaji	bayaran
gaji	upah
gak	ora
galon	galon
gambar	gambar
gambar	umbul
gambaran	gambaran
gambarnya	gamabare
gamelan	gamelan
ganas	ugal
gandum	gandum
ganja	ganja
ganti	ijol
gantung	nggandul
gantungan	gandulan
gantungan	gantolan
garam	uyah
garasi	garasi
garis	garis
garpu	garbu
garpu	gerpu
gas	gas
gasing	gangsing
gaun	gaun
gaun	rop
gawang	gawang
gaya	nggaya
gedung	gedong
gedung	wangunan
gelanggang	gelonggong
gelap	peteng
gelar	gelar
gelas	gelas
gelembung	pelembung
gelombang	gelombang
gempa	lindu
gemuk	lemu
generasi	liting
generator	generator
genggam	genggem
gerak	obah
gerakan	obahan
gerbang	gerbang
gerbong	gerbong
gereja	gerejo
gergaji	geraji
gergaji	graji
gerhana	gerhono
germo	germo
gerobak	gerobak
getaran	geter
gigi	untu
gigitan	cokotan
gila	edan
gila	gendheng
giliran	wayahe
ginjal	ginjal
ginjal	ginjel
gitar	gitar
godaan	gudoan
gol	gol
golf	golf
golongan	tunggalan
goresan	besetan
gorila	gorila
gosong	geseng
got	got
goyang	njoget
grafik	grafik
gravitasi	gravitasi
grup	liting
gua	guo
gubernur	gupernur
gubuk	gubuk
gudang	gudang
gue	kula
gugatan	pegatan
guguk	kirek
gula	gendhis
gula	gulo
gulai	jangan
gulat	gelut
guna	kanggo
gunting	gunting
gunting	ke'tokan
guntur	beldek
guntur	gluduk
gunung	arga
gunung	gunung
gurita	gurita
guru	guru
gurun	gurun
habis	entek
hadiah	hadhiah
hadir	teko
hak	hak
hakim	hakim
halaman	latar
halamannya	latare
halangan	alangan
halangan	pambengan
halilintar	gledek
halilintar	gluduk
halo	halo
halus	alus
halusnya	aluse
hama	homo
hamba	hamba
hamil	meteng
hampir	meh
hancur	ajur
hancurnya	ajure
hangat	anget
hantu	demit
hantu	memedi
hanya	mung
haram	haram
harapan	pangarepan
harga	rega
harga	rego
harganya	regone
hari	dina
hari	dino
hari	dinten
harian	dinoan
harimau	macan
harimu	dinomu
harta	banda
harta	bondo
harus	kudu
haruskah	kudu
harusnya	kudune
hasrat	hasrat
hati	ati
hatinya	atine
hebat	paten
helikopter	helikopter
hentikan	ndeg
heran	gumon
hewan	kewan
hiasan	pajangan
hidung	irung
hidup	urip
hidupku	uripku
hiduplah	uriplah
hidupnya	uripe
hijab	kudung
hijau	ijo
hilang	ilang
hitam	ireng
hitungan	etungan
hitungan	wicalan
hiu	hiu
hobi	hobi
hoki	bejo
honda	montor
hormon	hormon
hotel	hotel
hubungan	hubungan
hujan	udan
hukuman	hukuman
hulu	mentok
humor	guyon
huruf	aksara
hutan	alas
ibadah	ngibadah
ibarat	umpomo
iblis	demit
ibu	embok
ibu	mamak
ibu	simbok
ibuk	mamak
ibuk	simbok
ibuku	emakku
ibuku	ibukku
ibumu	emak mu
ibumu	emakmu
ibumu	ibukmu
ibumu	mbokmu
ibunya	mak e
ibunya	mbok e
ide	ide
identitas	identitas
idiot	pekok
ijab	ijab
ijin	ijin
ijo	ijo
ikan	iwak
ikatan	talenan
iklan	seponsor
ikut	melu
ikuti	meloni
ilmu	elmi
ilmu	ngelmu
ilmunya	ngelmune
ilmuwan	elmian
imajinasi	mbayangno
impian	pangimpen
impian	panyumpenan
indah	apik
independen	independen
individu	dewean
individu	ijenan
induk	babon
induknya	babone
influenza	pilek
informasi	informasi
ingat	eleng
ingat	eling
ingatan	elingan
ingatan	engetan
ingatkan	eleng ke
ingin	karep
inginkan	karepane
ini	iki
inilah	ikilah
instruksi	arahno
internal	internal
internet	internet
ipar	ipar
isinya	isine
islam	islam
istana	istana
istana	keraton
isteri	bojo
istirahat	leren
istirahat	ngaso
istri	bojo
istrinya	bojone
itik	mentok
itu	iku
itulah	iku
itulah	ikulah
iya	iyo
izin	pamit
jabang	jabang
jack	jack
jadi	sido
jadinya	sidone
jaga	jogo
jago	sawung
jagung	jagung
jahat	olo
jahe	jae
jaket	jaket
jala	jolo
jalan	dalan
jalan	mlaku
jalan	mlampah
jalanan	dalan
jalanan	dalanan
jalannya	dalane
jalur	jalur
jam	jam
jam	wektu
jaman	jaman
jaman	moso
jambak	jambak
jambu	jambu
jambul	jambol
jambul	kuncung
jamu	jamu
janda	randha
janda	rondo
jangan	ojo
janji	janji
jantan	lanang
jantung	jantung
jarak	jarak
jaran	jaran
jarang	arang-arang
jari	driji
jaring	jareng
jarum	dom
jatah	entok
jati	jatos
jatuh	tibo
jatuhkan	nibakno
jatuhnya	nibone
jauh	adoh
jawa	jowo
jawab	jawab
jawaban	jawaben
jawaban	wangsulan
jaya	joyo
jeda	mandek
jejak	tepak
jelas	jelas
jelaskan	jelaske
jelek	elek
jembar	luas
jembar	ombo
jembatan	titi
jembatan	wot
jempol	jempol
jemur	peme
jemur	pepe
jendela	jendelo
jenderal	jendral
jenggot	jenggot
jenis	macem
jenius	pinter
jepit	cepit
jernih	bening
jernihnya	beninge
jeruk	jeruk
jet	jet
jika	nek
jimat	jimat
jin	jin
jiwa	jiwo
jiwanya	jowone
jln	dalan
jodoh	jodo
jual	dol
jumat	jemuah
jumlah	cacah
jumlah	kabeh
jumlah	wilangan
jumpa	pethuk
jumpa	petuk
jurang	gumping
jurang	jurang
juri	juri
jurnal	jurnal
jurnalis	jurnalis
jurusan	jurusan
jus	jus
juta	yuto
jutaan	yuto-yuto
kabar	kabar
kabar	pirengan
kabar	prungon
kabar	prungu
kabarnya	kabare
kabel	kabel
kabur	minggat
kaca	kaca
kaca	koco
kacamata	kacamata
kacamata	koco moto
kacang	kacang
kacangan	kacangan
kadal	kadal
kadang	kadang
kadar	ukuran
kado	kado
kafir	kafir
kaget	kaget
kain	kain
kaisar	kaisar
kakak	kakang
kakak	mbak
kakak	mbak yu
kakak	raka
kakaknya	mbakyune
kakek	eyang kakung
kakek	mbah kakung
kakeknya	mbah kakunge
kaki	sikil
kakinya	sikile
kaku	wagu
kala	kolo
kala	wayah e
kalah	kalah
kalajengking	kalajengking
kalau	nek
kalender	tanggalan
kali	kaping
kali	ping
kalian	kalian
kalimat	ukara
kalkun	kalkun
kalori	kalori
kalung	kalung
kamar	kamar
kambing	wedhus
kami	kami
kamis	kemis
kampung	kampung
kampung	ndeso
kampungnya	kampunge
kampus	kampus
kamu	koe
kamu	sampeyan
kanan	tengen
kanannya	tengene
kancing	benik
kandang	kandang
kandang	kandhang
kandangnya	kandange
kandidat	kandidat
kandung	kandung
kandungan	kandungan
kandungnya	kandunge
kang	kakang
kanker	kanker
kanselir	kanselir
kantin	warung
kantong	sak
kantung	sak
kapak	kapak
kapal	kapal
kapalnya	kapale
kapan	kapan
kapas	kapas
kapsul	pil
kapur	kapur
karakter	karakter
karang	karang
karangan	karangan
karate	karate
karbon	karbon
kardinal	kardinal
karena	amergo
karenanya	amergane
karet	karet
kargo	kargo
karir	karir
karnaval	pawai
kartel	kartel
kartu	kertos
kartu	kertu
kartu	remi
kartun	kartun
karung	karung
karyawan	pegawai
kas	kas
kaset	kaset
kasih	asih
kasir	kasir
kasur	kasur
kata	tembung
katak	kodok
katakan	omongno
katanya	jarene
kategori	kategori
kau	koe
kavaleri	kavaleri
kawan	kanca
kawan	konco
kawanan	konconan
kawannya	koncone
kawasan	tegal
kawin	kawen
kaya	sugeh
kayak	koyo
kayu	kajeng
kayu	kayu
kayu	ketos
keadaan	enek
keadaan	kawontenan
kebahagiaan	kesenengan
kebaikan	kesaen
kebangkitan	kebangkitan
kebenaran	keleresan
kebencian	gething
keberadaan	kewontenan
keberanian	kekendelan
keberanian	kekendhelan
keberanian	kepurunan
keberatan	kaboten
kebersihan	keresikan
kebersihan	reresik
kebetulan	kebetulan
kebetulan	ora sengojo
kebisingan	brebeg
kebodohan	kebodonan
kebudayaan	keadatan
kebun	kebon
kebutuhan	kebetahan
kecepatan	kebanteran
kecewa	kuciwo
kecil	cilik
kecilnya	cilike
kecoa	coro
kecurigaan	curiga
kedai	warung
kedatangan	kedugen
kedelapan	ke wolu
kediaman	panggonan
kedokteran	kedokteran
kedua	ke loro
keduanya	loro-lorone
keempat	ke papat
keenam	ke enem
kegagalan	kegagalan
kegelapan	kepetengan
kegembiraan	sumringah
kegiatan	penggawean
kehabisan	ke entekan
kehakiman	kehakiman
kehamilan	meteng
kehancuran	kajuren
kehancuran	keajuran
kehidupan	kegesangan
kehidupan	kesugengan
kehidupan	kuripan
kehidupan	penguripan
kehidupannya	uripe
kehilangan	kelangan
kehormatan	kebekten
kehormatan	kebektosan
kehutanan	alas
keinginan	kekajengan
keinginan	kekarepan
keinginannya	karepane
kejadian	kadadosan
kejadian	kedadean
kejahatan	piawon
kejaksaan	kejaksaan
kejar	uber
kejayaan	kawijayan
kejiwaan	kejiwoan
keju	keju
kejujuran	kejujuran
kekaisaran	kekaisaran
kekasih	gendhakan
kekayaan	bondo
kekayaannya	bondone
kekebalan	kekebalan
kekejaman	kekejeman
kekerasan	keatosan
kekerasan	kesoran
kekeringan	asat
kekhawatiran	kuwatir
